,SP500,Date,Returns
127,2460.61,2017-07-18,1.4700000000002547
128,2473.83,2017-07-19,13.2199999999998
129,2473.45,2017-07-20,-0.38000000000010914
130,2472.54,2017-07-21,-0.9099999999998545
131,2469.91,2017-07-24,-2.630000000000109
132,2477.13,2017-07-25,7.220000000000255
133,2477.83,2017-07-26,0.6999999999998181
134,2475.42,2017-07-27,-2.4099999999998545
135,2472.1,2017-07-28,-3.3200000000001637
136,2470.3,2017-07-31,-1.7999999999997272
137,2476.35,2017-08-01,6.049999999999727
138,2477.57,2017-08-02,1.2200000000002547
139,2472.16,2017-08-03,-5.410000000000309
140,2476.83,2017-08-04,4.670000000000073
141,2480.91,2017-08-07,4.079999999999927
142,2474.92,2017-08-08,-5.989999999999782
143,2474.02,2017-08-09,-0.900000000000091
144,2438.21,2017-08-10,-35.809999999999945
145,2441.32,2017-08-11,3.1100000000001273
146,2465.84,2017-08-14,24.519999999999982
147,2464.61,2017-08-15,-1.2300000000000182
148,2468.11,2017-08-16,3.5
149,2430.01,2017-08-17,-38.09999999999991
150,2425.55,2017-08-18,-4.460000000000036
151,2428.37,2017-08-21,2.819999999999709
152,2452.51,2017-08-22,24.140000000000327
153,2444.04,2017-08-23,-8.470000000000255
154,2438.97,2017-08-24,-5.070000000000164
155,2443.05,2017-08-25,4.080000000000382
156,2444.24,2017-08-28,1.1899999999995998
157,2446.3,2017-08-29,2.0600000000004
158,2457.59,2017-08-30,11.289999999999964
159,2471.65,2017-08-31,14.059999999999945
160,2476.55,2017-09-01,4.900000000000091
162,2457.85,2017-09-05,-18.700000000000273
163,2465.54,2017-09-06,7.690000000000055
164,2465.1,2017-09-07,-0.44000000000005457
165,2461.43,2017-09-08,-3.6700000000000728
166,2488.11,2017-09-11,26.68000000000029
167,2496.48,2017-09-12,8.36999999999989
168,2498.37,2017-09-13,1.8899999999998727
169,2495.62,2017-09-14,-2.75
170,2500.23,2017-09-15,4.610000000000127
171,2503.87,2017-09-18,3.6399999999998727
172,2506.65,2017-09-19,2.7800000000002
173,2508.24,2017-09-20,1.5899999999996908
174,2500.6,2017-09-21,-7.639999999999873
175,2502.22,2017-09-22,1.6199999999998909
176,2496.66,2017-09-25,-5.559999999999945
177,2496.84,2017-09-26,0.18000000000029104
178,2507.04,2017-09-27,10.199999999999818
179,2510.06,2017-09-28,3.019999999999982
180,2519.36,2017-09-29,9.300000000000182
181,2529.12,2017-10-02,9.759999999999764
182,2534.58,2017-10-03,5.460000000000036
183,2537.74,2017-10-04,3.1599999999998545
184,2552.07,2017-10-05,14.330000000000382
185,2549.33,2017-10-06,-2.7400000000002365
186,2544.73,2017-10-09,-4.599999999999909
187,2550.64,2017-10-10,5.9099999999998545
188,2555.24,2017-10-11,4.599999999999909
189,2550.93,2017-10-12,-4.309999999999945
190,2553.17,2017-10-13,2.2400000000002365
191,2557.64,2017-10-16,4.4699999999998
192,2559.36,2017-10-17,1.7200000000002547
193,2561.26,2017-10-18,1.900000000000091
194,2562.1,2017-10-19,0.8399999999996908
195,2575.21,2017-10-20,13.110000000000127
196,2564.98,2017-10-23,-10.230000000000018
197,2569.13,2017-10-24,4.150000000000091
198,2557.15,2017-10-25,-11.980000000000018
199,2560.4,2017-10-26,3.25
200,2581.07,2017-10-27,20.670000000000073
201,2572.83,2017-10-30,-8.240000000000236
202,2575.26,2017-10-31,2.430000000000291
